ID , Year, Month (r), Date      , Ticker       , Transation                  , Stock Proceeds, Units      , Balance Units, Cost  Unit Price, Total Cost (H*J), Balance Total Cost (prior + K), Avarage Price (K/H), B3 Unit Price  , B3  Total Price  (I*N), 7        , 31       , 365      , YTD      , Instrument Type, Investment Broker , CNPJ              , IR       , Dollar Date, OverAll Month  , Overall  % Var, Overall  %   YTD
  2, 2017,         5, 01/05/2017, B3SA3        , Buy                         ,               , "256,0000" , "256,00000"  , "R$ 22,76"      , "R$ 5.826,56"   , "R$ 5.826,56"                 , "R$ 22,76"         , "R$ 19,46"     , "R$ 4.981,76"         , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                ,               , 
  3, 2020,         1, 13/01/2020, B3SA3        , DIVIDENDOS                  , "R$ 41,91"    ,            ,              ,                 ,                 ,                               ,                    , "R$ 19,46"     , "R$ 0,00"             , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                ,               , 
  4, 2020,         1, 13/01/2020, B3SA3        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 41,37"    ,            ,              ,                 ,                 ,                               ,                    , "R$ 19,46"     , "R$ 0,00"             , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                ,               , 
  5, 2020,         2, 13/02/2020, BVMF:SUZB3   , Buy                         ,               , "200,0000" , "200,00000"  , "R$ 41,52"      , "R$ 8.304,00"   , "R$ 8.304,00"                 , "R$ 41,52"         , "R$ 48,04"     , "R$ 9.608,00"         , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 16.404.287/0001-55,          , NOT FOUND  ,                ,               , 
  6, 2020,         2, 13/02/2020, BVMF:SUZB3   , Buy                         ,               , "67,0000"  , "267,00000"  , "R$ 41,52"      , "R$ 2.781,84"   , "R$ 11.085,84"                , "R$ 41,52"         , "R$ 48,04"     , "R$ 12.826,68"        , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 16.404.287/0001-55,          , NOT FOUND  ,                ,               , 
  7, 2020,         2, 13/02/2020, ENBR3        , Buy                         ,               , "300,0000" , "300,00000"  , "R$ 21,65"      , "R$ 6.495,00"   , "R$ 6.495,00"                 , "R$ 21,65"         , NOT FOUND      ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Energy         , Rico Investimentos, 03.983.431/0001-03,          , NOT FOUND  ,                ,               , 
  8, 2020,         2, 13/02/2020, ENBR3        , Buy                         ,               , "100,0000" , "400,00000"  , "R$ 21,65"      , "R$ 2.165,00"   , "R$ 8.660,00"                 , "R$ 21,65"         , NOT FOUND      ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Energy         , Rico Investimentos, 03.983.431/0001-03,          , NOT FOUND  ,                ,               , 
108, 2021,         7, 14/07/2021, KNRI11       , RENDIMENTOS                 , "R$ 41,40"    ,            ,              ,                 ,                 ,                               ,                    , "R$ 170,82"    , "R$ 0,00"             , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                ,               , 
109, 2021,         7, 14/07/2021, GNDI3        , DIVIDENDOS                  , "R$ 13,64"    ,            , "0,00000"    ,                 ,                 ,                               ,                    , NOT FOUND      ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Healthcare     , Rico Investimentos, 19.853.511/0001-84,          , NOT FOUND  ,                ,               , 
110, 2021,         7, 15/07/2021, HGRU11       , RENDIMENTOS                 , "R$ 63,00"    ,            ,              ,                 ,                 ,                               ,                    , "R$ 130,89"    , "R$ 0,00"             , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                ,               , 
433, 2025,         8, 31/08/2025, MONTH CLOSING,                             ,               ,            , "0,00000"    ,                 , 0               , 0                             , 0                  ,                , "R$ 0,00"             ,          ,          ,          ,          ,                ,                   ,                   ,          , NOT FOUND  , "R$ 148.446,12", "+3,56%"      , "+2,74%"
439, 2025,         9, 30/09/2025, MONTH CLOSING,                             ,               ,            , "0,00000"    ,                 , 0               , 0                             , 0                  ,                , "R$ 0,00"             ,          ,          ,          ,          ,                ,                   ,                   ,          , NOT FOUND  , "R$ 151.996,04", "+2,39%"      , "+5,20%"
474, 2026,         1, 31/01/2026, MONTH CLOSING,                             ,               ,            , "0,00000"    ,                 ,                 , 0                             , 0                  , NOT FOUND      , -                     , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND,                ,                   ,                   ,          , NOT FOUND  , "R$ 118.033,37", "+0,30%"      , 
499, 2026,         4, 17/04/2026, IRBR3        , DIVIDENDOS                  , "R$ 5,35"     ,            , "9,00000"    ,                 ,                 , 0                             , 0                  , "58,2"         , "R$ 523,80"           , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Insurance      , Rico Investimentos, 33.376.989/0001-91,          , NOT FOUND  ,                ,               , 
